BarcodeID,Date,YearMonth,Jul,LunarPhase,MinStartPostSunset,DailyTemp,MonthlyTemp,Latitude,Longitude,Site,Bank,GeoReach,TribDist,RivWidth,RivWidthGeoreach,ClosestRapid,RapidDist,TallVegByMSU,BatCollector,BatDuration,BugCollector,BugDuration,ANPA,COTO,EPFU,EUMA,EUPE,LABL,LABO,LACI,LAIN,LANO,LAXA,MYCA,MYCI,MYEV,MYGR,MYLU,MYTH,MYVO,MYSP,MYYU,NOID,NYFE,NYMA,PAHE,PESU,TABR,TotalCalls,AquaDipCR,AquaTriCR,AquaOtherCR,AquaticPreyRate,TerrMothCR,TerrOtherCR,TerrestrialPreyRate,TotalPreyRate
L09371,4/29/2017,2017-4,119,New,48,16.38888889,20.74494949,36.6373,-111.7613,20,LB,Supai,19.3,50,66.50574713,North Canyon Rapid,0.52,0.53,NJ,0.97,JordanN,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,12,49,0,0,9,0,0,76,651,35,0,686,598,74,672,1358
L09372,4/30/2017,2017-4,120,Waxing,44,18.88888889,20.74494949,36.388,-111.849,44,LB,Lower Marble,8.1,55,92.56410256,President Harding,0.42,0.84,NJ,1.08,JordanN,1,0,0,0,0,0,1,0,0,0,0,0,59,0,0,0,0,0,0,0,63,130,0,0,5,0,0,258,357,0,0,357,80,27,107,464
L09374,5/1/2017,2017-5,121,Waxing,48,21.94444444,23.96953405,36.239,-111.8244,58,LB,Lower Marble,3.6,73,92.56410256,Kwagunt Rapid,1.87,1.13,NJ,1,JordanN,1,1,0,2,0,0,10,0,2,0,3,0,24,0,0,0,0,0,0,0,50,105,0,0,34,0,1,232,5,6,0,11,0,1,1,12
L08416,5/2/2017,2017-5,122,Waxing,27,23.61111111,23.96953405,36.2293,-112.3384,108,LB,Upper Granite Gorge,0.9,60,58.93838863,Bass Rapid,0.09,0.29,SM,1.05,MorrisS,1.03,0,0,0,0,0,14,0,1,0,15,0,4,0,0,8,0,0,0,0,31,145,0,0,13,0,1,232,155.83,74.17,0,230,30,266.67,296.67,526.67
L09373,5/2/2017,2017-5,122,Waxing,42,23.61111111,23.96953405,36.0548,-111.9957,82,LB,Upper Granite Gorge,3,49,58.93838863,Grapevine Rapid,0.36,0.56,NJ,1.07,JordanN,1,0,0,7,0,0,10,0,5,0,13,0,1,0,0,0,0,0,0,0,3,84,0,0,78,0,5,206,187,29,0,216,10,48,58,274
L09375,5/3/2017,2017-5,123,Waxing,41,24.72222222,23.96953405,36.2293,-112.3384,108,LB,Upper Granite Gorge,0.9,60,58.93838863,Bass Rapid,0.09,0.29,NJ,1.1,JordanN,1,0,0,0,0,0,2,0,0,0,20,0,4,0,0,0,0,0,0,0,16,135,0,0,42,0,3,222,0,1,0,1,0,1,1,2
L08415,5/4/2017,2017-5,124,Waxing,7,25.83333333,23.96953405,36.3737,-112.65,146,LB,Muav Gorge,1.8,59,51.76041667,144.5-Mile Rapid,0.47,0.26,SM,1,MorrisS,1.02,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,124,0,1,168,135.79,14.74,17.89,168.42,43.16,107.37,150.53,318.95
L09386,5/5/2017,2017-5,125,Waxing,40,28.33333333,23.96953405,36.3766,-112.6499,146,LB,Muav Gorge,1.6,59,51.76041667,144.5-Mile Rapid,0.27,0.26,NJ,0.83,JordanN,1,5,0,9,0,1,0,0,0,0,21,0,4,0,0,0,0,0,0,0,6,132,0,0,24,0,13,215,6022.45,101.02,0,6123.47,1016.33,537.76,1554.08,7677.55
L09385,5/6/2017,2017-5,126,Waxing,39,28.61111111,23.96953405,36.2849,-112.8021,160,LB,Lower Canyon,3.2,43,72.3196347,Havasu Rapid,3.24,0.28,NJ,1.08,JordanN,1,0,0,11,0,3,3,0,3,0,8,0,18,3,0,0,0,0,0,0,29,79,0,0,43,0,13,213,34.94,97.59,0,132.53,3.61,0,3.61,136.14
L09383,5/7/2017,2017-5,127,Waxing,68,23.61111111,23.96953405,36.2377,-113.0145,175,RB,Lower Canyon,17.5,43,72.3196347,Gateway Rapid,2.97,0.45,NJ,0.72,JordanN,1,0,0,0,0,0,0,0,4,0,10,0,9,0,0,0,0,0,1,0,3,112,0,0,3,0,28,170,189,6,0,195,33,29,62,257
